"image_id","camera","longitude","latitude","date","month","year","season","time_period","veg_type","human_structure","distance_human_m","water_type","distance_water_m","species","species_count","percentage_resting","percentage_standing","percentage_moving","percentage_eating","percentage_interacting","young_present","horns","image_url"
"765160","D23","34.6172","-18.9591","2014-07-16","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5385","River","81","Bushbuck","1","0","0.0625","0.0625","0","0","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D23_Season%202_Set%201_EK000251.JPG"
"765177","D45","34.6179","-18.9558","2014-07-16","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Genet","1","0","0","0.0769230769231","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000713.JPG"
"765184","D46","34.6105","-18.9551","2014-07-16","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","4561","River","26","Elephant","1","0","0.05","0.05","0.05","0","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D46_Season%202_Set%201_EK000170.JPG"
"765185","D46","34.6105","-18.9551","2014-07-16","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","4561","River","26","Elephant","1","0","0.05","0.05","0.05","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D46_Season%202_Set%201_EK000169.JPG"
"765188","D45","34.6179","-18.9558","2014-07-16","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Duiker","1","0","0.1","0.1","0.1","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000708.JPG"
"765189","D45","34.6179","-18.9558","2014-07-16","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Duiker","1","0","0.0769230769231","0.0769230769231","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000709.JPG"
"765190","D45","34.6179","-18.9558","2014-07-16","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Duiker","1","0","0.2","0","0.2","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000707.JPG"
"765191","D45","34.6179","-18.9558","2014-07-16","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Duiker","1","0","0.0666666666667","0.0666666666667","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000706.JPG"
"765192","D45","34.6179","-18.9558","2014-07-16","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Duiker","1","0","0.0666666666667","0.0666666666667","0.0666666666667","0","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000705.JPG"
"765194","D45","34.6179","-18.9558","2014-07-16","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Duiker","1","0","0.0454545454545","0.0454545454545","0.0454545454545","0","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000703.JPG"
"765195","D23","34.6172","-18.9591","2014-07-16","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5385","River","81","Warthog","1","0","0","0.0625","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D23_Season%202_Set%201_EK000238.JPG"
"765210","D45","34.6179","-18.9558","2014-07-16","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Duiker","1","0","0.0909090909091","0.0909090909091","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000700.JPG"
"765234","D45","34.6179","-18.9558","2014-07-15","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5349","River","250","Genet","1","0","0","0.0769230769231","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000695.JPG"
"765240","D45","34.6179","-18.9558","2014-07-21","Jul","2014","Dry Jul-Sep","Day 0623-1709","Limestone Gorge","School","5349","River","250","Duiker","1","0","0.25","0.25","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000781.JPG"
"765250","D25","34.6167","-18.9589","2014-07-21","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5343","River","89","Mongoose","1","0","0.0714285714286","0.0714285714286","0.0714285714286","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D25_Season%202_Set%201_EK006240.JPG"
"765251","D25","34.6167","-18.9589","2014-07-21","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5343","River","89","Baboon","1","0.0434782608696","0.0434782608696","0.0434782608696","0.0434782608696","0.0434782608696","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D25_Season%202_Set%201_EK006168.JPG"
"765251","D25","34.6167","-18.9589","2014-07-21","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5343","River","89","Bird (other)","1","0","0.0555555555556","0.0555555555556","0.0555555555556","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D25_Season%202_Set%201_EK006168.JPG"
"765253","D23","34.6172","-18.9591","2014-07-21","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5385","River","81","Nyala","1","0","0.0625","0.0625","0.0625","0.0625","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D23_Season%202_Set%201_EK000313.JPG"
"765254","D23","34.6172","-18.9591","2014-07-21","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5385","River","81","Warthog","1","0","0.0555555555556","0.0555555555556","0.0555555555556","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D23_Season%202_Set%202_EK000072.JPG"
